Prediction	Timestamp	From loc	To loc	Elapsed_time	Segment_Foraging
1	2015-06-11 20:18:51.168000+00:00	L/hexcom/Current/js_v9/main.js;.scaleCanvas()	L/hexcom/Current/js_v9/main.js;.init(b)	16:35.8	DP
2	2015-06-11 20:19:49.871000+00:00	L/hexcom/Current/js_v9/main.js;.init(b)	L/hexcom/Current/js_v9/main.js;.animLoop()	17:34.5	DP
3	2015-06-11 20:20:22.630050+00:00	L/hexcom/Current/js_v9/main.js;.animLoop()	/hexcom/Current/js_v9/render.js at 0	18:07.3	DP
4	2015-06-11 20:21:24.423050+00:00	L/hexcom/Current/js_v9/render.js;.render()	/hexcom/Current/js_v9/view.js at 0	19:09.1	DP
5	2015-06-11 20:21:35.829000+00:00	L/hexcom/Current/js_v9/view.js;.pfigheader()V	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	19:20.5	DP
6	2015-06-11 20:30:11.004050+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	/hexcom/Current/js_v9/input.js at 0	27:55.6	OTH
7	2015-06-11 20:30:24.871000+00:00	L/hexcom/Current/js_v9/input.js;.addKeyListeners()	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	28:09.5	OTH
8	2015-06-11 20:32:50.346050+00:00	L/hexcom/Current/js_v9/view.js;.drawScoreboard()	/hexcom/2014-08-26-10:42:29/js_v8/view.js at 0	30:35.0	DP
9	2015-06-11 20:32:52.607000+00:00	L/hexcom/2014-08-26-10:42:29/js_v8/view.js;.pfigheader()V	L/hexcom/2014-08-26-10:42:29/js_v8/view.js;.drawScoreboard()	30:37.3	DP
10	2015-06-11 20:33:07.546000+00:00	L/hexcom/2014-08-26-10:42:29/js_v8/view.js;.drawScoreboard()	L/hexcom/Current/js_v9/main.js;.animLoop()	30:52.2	DP
11	2015-06-11 20:33:07.574000+00:00	L/hexcom/Current/js_v9/main.js;.animLoop()	L/hexcom/Current/js_v9/main.js;.init(b)	30:52.2	DP
12	2015-06-11 20:33:19.005050+00:00	L/hexcom/Current/js_v9/main.js;.init(b)	/hexcom/Current/js_v9/Hex.js at 0	31:03.6	SV
13	2015-06-11 20:33:21.145000+00:00	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	L/hexcom/Current/js_v9/Hex.js/Hex(sideLength);.shake()	31:05.8	SV
14	2015-06-11 20:33:25.923000+00:00	L/hexcom/Current/js_v9/Hex.js/Hex(sideLength);.shake()	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	31:10.6	SV
15	2015-06-11 20:33:26.687000+00:00	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	L/hexcom/Current/js_v9/Hex.js/Hex(sideLength);.shake()	31:11.3	SV
16	2015-06-11 20:33:43.605000+00:00	L/hexcom/Current/js_v9/Hex.js/Hex(sideLength);.shake()	L/hexcom/Current/js_v9/main.js;.init(b)	31:28.2	SV
