Prediction	Timestamp	From loc	To loc	Elapsed_time	Segment_Foraging
1	2015-05-21 20:26:36.544050+00:00	L/hexcom/Current/js_v9/math.js;.rotatePoint(x"," y"," theta)	/hexcom/Current/js_v9/checking.js at 0	01:50.4	DP
2	2015-05-21 20:27:54.197000+00:00	L/hexcom/Current/js_v9/checking.js;.search(twoD","oneD)	L/hexcom/Current/js_v9/checking.js;.consolidateBlocks(hex","side","index)	03:08.1	DP
3	2015-05-21 20:31:39.606050+00:00	L/hexcom/Current/js_v9/checking.js;.consolidateBlocks(hex","side","index)	/hexcom/Current/js_v9/input.js at 0	06:53.5	DP
4	2015-05-21 20:31:44.568050+00:00	L/hexcom/Current/js_v9/input.js;.addKeyListeners()	/hexcom/Current/js_v9/Hex.js at 0	06:58.4	DP
5	2015-05-21 20:32:24.746050+00:00	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	/hexcom/Current/js_v9/comboTimer.js at 0	07:38.6	DP
6	2015-05-21 20:32:57.454050+00:00	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	/hexcom/Current/js_v9/view.js at 0	08:11.3	DP
7	2015-05-21 20:34:58.016000+00:00	L/hexcom/Current/js_v9/view.js;.pfigheader()V	L/hexcom/Current/js_v9/view.js;.renderText(x"," y"," fontSize"," color"," text"," font)	10:11.9	DP
8	2015-05-21 20:36:59.032000+00:00	L/hexcom/Current/js_v9/view.js;.renderText(x"," y"," fontSize"," color"," text"," font)	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	12:12.9	DP
9	2015-05-21 20:37:27.712000+00:00	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	12:41.6	DP
10	2015-05-21 20:37:31.407050+00:00	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	/hexcom/Current/js_v9/main.js at 0	12:45.3	DP
11	2015-05-21 20:38:15.168000+00:00	L/hexcom/Current/js_v9/main.js;.scaleCanvas()	L/hexcom/Current/js_v9/main.js;.init(b)	13:29.0	DP
12	2015-05-21 20:38:31.755000+00:00	L/hexcom/Current/js_v9/main.js;.init(b)	L/hexcom/Current/js_v9/main.js;.scaleCanvas()	13:45.6	DP
13	2015-05-21 20:38:31.789000+00:00	L/hexcom/Current/js_v9/main.js;.scaleCanvas()	L/hexcom/Current/js_v9/main.js;.init(b)	13:45.6	DP
14	2015-05-21 20:38:39.673000+00:00	L/hexcom/Current/js_v9/main.js;.init(b)	L/hexcom/Current/js_v9/main.js;.scaleCanvas()	13:53.5	DP
15	2015-05-21 20:38:47.703000+00:00	L/hexcom/Current/js_v9/main.js;.scaleCanvas()	L/hexcom/Current/js_v9/main.js;.init(b)	14:01.6	DP
16	2015-05-21 20:39:00.986050+00:00	L/hexcom/Current/js_v9/main.js;.init(b)	/hexcom/Current/js_v9/Block.js at 0	14:14.8	DP
17	2015-05-21 20:39:05.705000+00:00	L/hexcom/Current/js_v9/Block.js;.Block(fallingLane"," color"," iter"," distFromHex"," settled)	L/hexcom/Current/js_v9/main.js;.init(b)	14:19.6	DP
18	2015-05-21 20:39:08.027000+00:00	L/hexcom/Current/js_v9/main.js;.init(b)	L/hexcom/Current/js_v9/checking.js;.consolidateBlocks(hex","side","index)	14:21.9	DP
19	2015-05-21 20:39:33.926000+00:00	L/hexcom/Current/js_v9/checking.js;.consolidateBlocks(hex","side","index)	L/hexcom/Current/js_v9/main.js;.init(b)	14:47.8	DP
20	2015-05-21 20:39:35.341000+00:00	L/hexcom/Current/js_v9/main.js;.init(b)	L/hexcom/Current/js_v9/view.js;.renderText(x"," y"," fontSize"," color"," text"," font)	14:49.2	DP
21	2015-05-21 20:43:41.345050+00:00	L/hexcom/Current/js_v9/view.js;.renderText(x"," y"," fontSize"," color"," text"," font)	/hexcom/Current/js_v9/Text.js at 0	18:55.2	DP
22	2015-05-21 20:44:21.971000+00:00	L/hexcom/Current/js_v9/Text.js;.Text(x","y","text","font","color","incrementFunction)	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	19:35.8	DP
23	2015-05-21 20:44:23.831000+00:00	L/hexcom/Current/js_v9/comboTimer.js;.drawTimer()	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	19:37.7	DP
24	2015-05-21 20:44:25.272000+00:00	L/hexcom/Current/js_v9/Hex.js;.Hex(sideLength)	L/hexcom/Current/js_v9/view.js;.renderText(x"," y"," fontSize"," color"," text"," font)	19:39.1	DP
